Employee_ID,Employee_Name,Gender,Department,Designation,Joining_Date,Location,Salary,Joining_Year,Joining_Month,Joining_Month_Name
1001,Karan Singh,Female,HR,HR Manager,2019-01-12,Delhi,33240.0,2019,1,January
1002,Kavya Soni,Male,IT,System Administrator,2022-03-02,Delhi,114493.0,2022,3,March
1003,Vikas Agarwal,Female,HR,HR Manager,2019-10-31,Jaipur,93363.0,2019,10,October
1004,Karan Malhotra,Male,Sales,Business Development Executive,2023-10-30,Panipat,54762.0,2023,10,October
1005,Varun Jain,Female,Sales,Business Development Executive,2019-02-12,Noida,30259.0,2019,2,February
1006,Ananya Soni,Female,Operations,MIS Executive,2021-08-01,Jaipur,72139.0,2021,8,August
1007,Arjun Yadav,Female,Marketing,Digital Marketing Analyst,2025-07-18,Jaipur,36849.0,2025,7,July
1008,Aditya Patel,Male,Marketing,Marketing Executive,2022-09-11,Noida,103768.0,2022,9,September
1009,Vivaan Yadav,Male,Operations,Operations Executive,2025-12-20,Delhi,111709.0,2025,12,December
1010,Isha Mishra,Female,Sales,Sales Manager,2025-08-08,Chandigarh,76869.0,2025,8,August
1011,Rohan Verma,Male,Sales,Sales Executive,2021-06-09,Noida,85095.0,2021,6,June
1012,Aarav Bansal,Female,Sales,Sales Executive,2025-10-10,Panipat,92910.0,2025,10,October
1013,Isha Mehta,Female,HR,Recruiter,2021-10-01,Gurugram,108710.0,2021,10,October
1014,Amit Soni,Male,Sales,Business Development Executive,2019-01-21,Gurugram,45567.0,2019,1,January
1015,Priya Bansal,Female,Finance,Financial Analyst,2020-02-11,Jaipur,57292.0,2020,2,February
1016,Sneha Chopra,Male,IT,IT Support Executive,2021-10-11,Gurugram,96813.0,2021,10,October
1017,Kavya Mishra,Female,Sales,Sales Manager,2019-12-02,Chandigarh,119136.0,2019,12,December
1018,Varun Bansal,Female,Operations,Operations Executive,2024-01-13,Delhi,73631.0,2024,1,January
1019,Meera Mehta,Male,IT,System Administrator,2022-02-21,Panipat,31885.0,2022,2,February
1020,Aditya Kumar,Male,HR,HR Manager,2025-09-12,Chandigarh,81659.0,2025,9,September
1021,Varun Jain,Female,Operations,Operations Manager,2024-01-02,Panipat,76306.0,2024,1,January
1022,Neha Jain,Male,IT,IT Support Executive,2020-12-15,Panipat,88314.0,2020,12,December
1023,Nikhil Singh,Female,Operations,Operations Manager,2019-02-20,Delhi,87087.0,2019,2,February
1024,Pooja Verma,Male,HR,HR Manager,2019-11-20,Jaipur,51165.0,2019,11,November
1025,Neha Malhotra,Male,Finance,Financial Analyst,2021-02-27,Gurugram,80929.0,2021,2,February
1026,Vivaan Singh,Male,HR,HR Manager,2019-05-21,Delhi,89028.0,2019,5,May
1027,Kavya Bansal,Male,HR,HR Executive,2020-04-14,Chandigarh,117998.0,2020,4,April
1028,Karan Bansal,Male,Operations,MIS Executive,2021-02-25,Jaipur,71812.0,2021,2,February
1029,Vikas Chopra,Female,Marketing,Marketing Manager,2023-12-31,Chandigarh,72500.0,2023,12,December
1030,Aditya Mishra,Male,Sales,Sales Manager,2022-09-19,Jaipur,101151.0,2022,9,September
1031,Amit Singh,Male,Sales,Business Development Executive,2024-03-31,Chandigarh,80643.0,2024,3,March
1032,Nikhil Yadav,Male,Finance,Finance Executive,2021-08-21,Unknown,66900.0,2021,8,August
1033,Arjun Verma,Male,Finance,Finance Executive,2020-01-08,Jaipur,64946.0,2020,1,January
1034,Rohan Patel,Male,Sales,Sales Manager,2025-12-16,Jaipur,29851.0,2025,12,December
1035,Priya Singh,Female,Marketing,Digital Marketing Analyst,2023-08-20,Panipat,38288.0,2023,8,August
1036,Nikhil Malhotra,Female,Sales,Business Development Executive,2022-03-25,Panipat,94692.0,2022,3,March
1037,Isha Verma,Male,Marketing,Marketing Manager,2025-05-27,Noida,89580.0,2025,5,May
1038,Priya Mishra,Female,Finance,Financial Analyst,2023-07-30,Chandigarh,29368.0,2023,7,July
1039,Arjun Mishra,Female,IT,Software Engineer,2019-04-16,Panipat,107436.0,2019,4,April
